Nom du Produit en Français	AGB 3.1  Score unique EF (mPt/kg de produit)
Chinchard gras, cru	0.2944998
Chinchard maigre, cru	0.2944998
Chinchard, cru	0.2944998
Chipolata, crue	0.71621383
Chipolata, cuite	0.97976806
Chips de crevette	0.34044394
Chips de maïs ou tortilla chips	0.22335576
Chips de pommes de terre et assimilés, allégées en matière grasse	0.22335616
Chips de pommes de terre, à l'ancienne	0.22335616
Chips de pommes de terre, standard	0.22335616
Chocolat au lait aux céréales croustillantes, tablette	0.77950875
Chocolat au lait aux fruits secs (noisettes, amandes, raisins, praline), tablette	0.77950875
Chocolat au lait fourré	0.77950875
Chocolat au lait fourré au praliné, tablette	0.77950875
Chocolat au lait sans sucres ajoutés, avec édulcorants, tablette	0.77950875
Chocolat au lait, tablette	0.77950875
Chocolat blanc aux fruits secs (noisettes, amandes, raisins, praliné) , tablette	0.75746254
Chocolat blanc, tablette	0.75746254
Chocolat noir à 40% de cacao minimum, à pâtisser, tablette	0.88882014
Chocolat noir à 70% cacao minimum, extra, dégustation, tablette	0.88882014
Chocolat noir à moins de 70% de cacao, à croquer, tablette	0.88882014
Chocolat noir aux fruits (orange, framboise, poire), tablette	0.30476257
Chocolat noir aux fruits secs (noisettes, amandes, raisins, praline), tablette	0.88882014
Chocolat noir fourrage confiseur à la menthe	0.88882014
Chocolat noir fourré praliné, tablette	0.88882014
Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette	0.88882014
Chorizo	0.89386343
Chorizo supérieur, doux ou fort, type charcuterie en tranches	0.89386343
Chorizo supérieur, doux ou fort, type saucisse sèche	0.86226928
Chou à la crème (chantilly ou pâtissière)	0.29689391
Chou à la crème chantilly	0.29689391
Chou à la crème pâtissière	0.24216949
Chou blanc, cru	0.065431626
Chou chinois (pak-choi ou pé-tsai), cuit	0.1374912
Chou chinois ou pak-choi ou pé-tsai, cru	0.089195559
Chou de Bruxelles, appertisé, égoutté	0.11933822
Chou de Bruxelles, cru	0.071231105
Chou de Bruxelles, cuit	0.11783306
Chou de Bruxelles, surgelé, cru	0.12104275
Chou de Bruxelles, surgelé, cuit	0.15212419
Chou farci	0.6096863
Chou frisé, cru	0.083715974
Chou frisé, cuit	0.13489622
Chou romanesco ou brocoli à pomme, cru	0.085808559
Chou rouge, bouilli/cuit à l'eau	0.12329817
Chou rouge, cru	0.075871335
Chou vert, cru	0.089195559
Chou vert, cuit	0.1374912
Chou-fleur, cru	0.085808559
Chou-fleur, cuit	0.12197865
Chou-fleur, surgelé, cru	0.12913449
Chou-fleur, surgelé, cuit	0.16157637
Chou-rave, bouilli/cuit à l'eau	0.13300507
Chou-rave, cru	0.06554723
Choucroute garnie	0.31990953
Choucroute, sans garniture, égouttée	0.12349273
Chouquette	0.28709468
Ciboule ou Ciboulette, fraîche	0.089974967
Cidre aromatisé (framboise)	0.14399777
Cidre bouché demi-sec	0.14399777
Cidre brut	0.14399777
Cidre doux	0.14399777
Cidre traditionnel	0.14399777
Cigarette	0.68526964
Citron givré ou Orange givrée (sorbet)	0.22353537
Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés	0.13319566
Citron vert ou Lime, pulpe, cru	0.14362401
Citron, pulpe, cru	0.17135205
Citron, zeste, cru	0.2021884
